keyword,volume,kd,their_pos,cluster,note
woodlands checkpoint,44000,5,21,travel-jb,new-post-jb-transport
ets jb to kl,32000,3,16,travel-jb,section-jb-transport
tuas checkpoint,12000,13,17,travel-jb,section-jb-transport
train from jb to kl,4500,0,24,travel-jb,section-jb-transport
halal food near me,15000,19,16,food-head,pSEO-explore
mustafa centre,9800,10,24,area,pSEO-little-india
golden mile food centre,4800,0,30,hawker,new-post
grain catering,6200,0,21,catering,pSEO
bugis food,6100,0,19,area,pSEO-bugis
